TFLOPs												Achieved Active Warps per SM										
Grid Size 	base 	opti1	opti2	opti3	opti4	opti5_rk3	opti6_SOA	opti7	opti8	opti8_shmem		Grid Size 	base 	opti1	opti2	opti3	opti4	opti5_rk3	opti6_SOA	opti7	opti8	opti8_shmem
128X16	0.037599	0.051942	0.049896	0.050971	0.292016	0.322007	0.220336	0.22087	0.224577	0.220703		128X16	7.45	7.51	7.49	7.5	7.29	7.35	7.39	3.89	7.22	7.39
256X32	0.149905	0.204738	0.20012	0.199085	1.138919	1.310449	0.88195	0.868879	0.87579	0.88548		256X32	7.72	7.95	7.74	7.71	7.79	7.64	7.75	3.9	7.84	7.69
512X64	0.637387	0.825812	0.810243	0.803766	4.590448	5.224109	3.421058	3.5179623	3.568776	3.545083		512X64	7.85	7.84	7.89	7.74	7.75	7.74	7.93	5.86	7.81	7.9
1024X128	2.441737	3.165386	3.090395	3.125315	17.449567	20.627805	14.221362	14.171004	14.178414	13.875949		1024X128	20.63	20.12	20.55	20.08	20.64	20.48	20.85	20.38	20.58	20.73
2048X256	3.675851	12.376475	12.596808	12.67055	56.846018	63.96003	54.586965	55.145987	53.524689	53.784172		2048X256	39.41	39.92	39.91	39.59	21.59	21.56	21.93	21.71	21.85	21.77
4096X512	3.508808	18.601899	19.9168	21.069944	76.126396	78.618528	45.144017	67.783596	85.598132	84.696289		4096X512	44.71	43.74	43.71	43.73	22.58	22.61	22.99	22.97	22.84	22.91
8192X1024	2.777642	8.556269	9.733489	10.047842	60.305087	63.459216	20.003547	68.77198	77.050754	74.781149		8192X1024	46.14	44.6	45.42	44.19	22.96	22.97	23.21	23.21	23.19	223.2
16384X2048	5.495521	4.943954	5.187824	9.966551	51.371815	41.139264	16.320275	51.665885	71.994962	0		16384X2048	46.53	42.91	43	43.8	23.05	23.04	23.27	23.4	23.22	0
																						
dRAM%												Estimated_speedup										
Grid Size 	base 	opti1	opti2	opti3	opti4	opti5_rk3	opti6_SOA	opti7	opti8	opti8_shmem		Grid Size 	base 	opti1	opti2	opti3	opti4	opti5_rk3	opti6_SOA	opti7	opti8	opti8_shmem
128X16	0.38	0.62	0.62	0.6	0.47	0.47	0.49	0.51	0.56	0.56		128X16										
256X32	0.92	1.56	1.57	1.58	1.06	1.07	1.21	1.16	1.28	1.3		256X32										
512X64	2.9	4.88	4.67	4.94	3.23	3.28	3.28	3.4	4.12	4.16		512X64										
1024X128	7.72	13.33	13.49	12.92	8.28	8.26	8.53	7.83	10.04	10.14		1024X128										
2048X256	11.35	20.75	20.82	20.69	9.87	10.4	10.38	9.95	12.49	12.78		2048X256										
4096X512	18	33.28	33.02	33.83	11.94	11.9	11.73	10.97	14.02	14.43		4096X512										
8192X1024	37.39	70.36	70.05	70.27	20.14	20.35	20.12	18.4	24.17	24.49		8192X1024										
16384X2048	42.45	78.99	79.11	79.1	24.24	24.31	23.92	21.99	29.29	0		16384X2048										
																						
SM_throughput %												TFLOPs_hardware (fp32)										
Grid Size 	base	opti1	opti2	opti3	opti4	opti5_rk3	opti6_SOA	opti7	opti8	opti8_shmem		Grid Size 	base 	opti1	opti2	opti3	opti4	opti5_rk3	opti6_SOA	opti7	opti8	opti8_shmem
